Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_900095025.1	IMG-taxon 2671180230 annotated assembly	Acinetobacter albensis	GCF_900095025.1-RS_2024_04_26	Contig	2016-08-04		PRJEB15012	SAMN05428935
GCF_023499985.1	ASM2349998v1	Acinetobacter amyesii	GCF_023499985.1-RS_2024_08_29	Contig	2022-05-18		PRJNA836248	SAMN28155925
GCF_900197575.1	IMG-taxon 2690315601 annotated assembly	Acinetobacter apis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-29	12	PRJEB21552	SAMN05444584
GCF_015627105.1	ASM1562710v1	Acinetobacter baretiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-20		PRJNA561157	SAMN12610052
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	GCF_009035845.1-RS_2024_03_30	Complete Genome	2019-10-16	3	PRJNA557095	SAMN12389466
GCF_020911985.1	ASM2091198v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-22	2	PRJNA729114	SAMN19110717
GCF_022870045.1	ASM2287004v1	Acinetobacter baumannii	GCF_022870045.1-RS_2024_04_26	Complete Genome	2022-04-11	1	PRJNA605254	SAMN14078800
GCF_014672755.1	ASM1467275v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-21	1	PRJNA645521	SAMN15507635
GCF_009759685.1	ASM975968v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-17	2	PRJNA577968	SAMN13045090
GCF_025995075.1	ASM2599507v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-17	1	PRJDB12922	SAMD00467119
GCF_014874575.1	ASM1487457v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-09	5	PRJNA647049	SAMN15574350
GCF_000746645.1	ASM74664v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-08-29	1	PRJNA256157	SAMN02940899
