Organism Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Acinetobacter albensis  	strain: ANC 4874	1673609	IMG-taxon 2671180230 annotated assembly	GCF_900095025.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	199555	3045904	2016-08-04	2826	PRJEB15012	SAMN05428935
Acinetobacter apis  	strain: ANC 5114	1229165	IMG-taxon 2690315601 annotated assembly	GCF_900197575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	1380796	2413782	2017-06-29	2247	PRJEB21552	SAMN05444584
Acinetobacter baretiae  	strain: B10A	2605383	ASM1562710v1	GCF_015627105.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	103504	2580418	2020-11-20	2508	PRJNA561157	SAMN12610052
Acinetobacter baumannii  	strain: ACICU	405416	ASM1844v1	GCF_000018445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3904116	3996761	2008-04-15	3845	PRJNA17827	SAMN02603140
Acinetobacter baumannii  	strain: AB307-0294	557600	ASM2114v1	GCF_000021145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3760981	3760981	2008-11-24	3544	PRJNA30993	SAMN02603889
Acinetobacter baumannii  	strain: AB0057	480119	ASM2124v2	GCF_000021245.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4055148	4063879	2017-06-27	3933	PRJNA21111	SAMN02603051
Acinetobacter baumannii  	strain: AYE	509173	ASM6924v1	GCF_000069245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3936291	4048735	2008-02-29	3908	PRJNA28921	SAMEA3138279
Acinetobacter baumannii  	strain: D1279779	945556	ASM18666v4	GCF_000186665.3	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3704284	3711700	2014-09-30	3576	PRJNA61919	SAMN02603576
Acinetobacter baumannii  	strain: MDR-TJ	889738	ASM18720v4	GCF_000187205.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3964912	4153407	2013-03-11	4027	PRJNA52959	SAMN02603104
Acinetobacter baumannii  	strain: 1656-2	696749	ASM18821v1	GCF_000188215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3940614	4023106	2011-02-08	3915	PRJNA42153	SAMN02603494
Acinetobacter baumannii  	strain: MDR-ZJ06	497978	ASM22627v2	GCF_000226275.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4022275	4022275	2018-10-16	3898	PRJNA28333	SAMN02603878
Acinetobacter baumannii  	strain: TYTH-1	1100841	ASM30257v1	GCF_000302575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3957368	3957368	2012-10-03	3795	PRJNA74551	SAMN02603667
Acinetobacter baumannii  	strain: BJAB07104	1096995	ASM41938v1	GCF_000419385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3951920	4042229	2013-07-09	3908	PRJNA74421	SAMN02604244
Acinetobacter baumannii  	strain: BJAB0715	1096996	ASM41940v1	GCF_000419405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4001621	4053889	2013-07-09	3926	PRJNA74423	SAMN02604245
Acinetobacter baumannii  	strain: BJAB0868	1096997	ASM41942v1	GCF_000419425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3906795	4005822	2013-07-09	3849	PRJNA74425	SAMN02604246
Acinetobacter baumannii  	strain: DU202	1370126	ASM49837v2	GCF_000498375.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4178958	4178958	2016-09-16	4126	PRJNA213256	SAMN02470137
Acinetobacter baumannii  	strain: ZW85-1	1400867	ASM50568v2	GCF_000505685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3763012	3925246	2013-12-11	3720	PRJNA219230	SAMN02641530
Acinetobacter baumannii  	strain: AC29	470	ASM69585v3	GCF_000695855.3	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3851648	3935134	2015-04-06	3816	PRJNA238628	SAMN02714232
Acinetobacter baumannii  	strain: AB031	470	ASM74660v1	GCF_000746605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3803317	3803317	2014-08-29	3637	PRJNA256158	SAMN02940901
Acinetobacter baumannii  	strain: AB030	470	ASM74664v1	GCF_000746645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4335793	4335793	2014-08-29	4314	PRJNA256157	SAMN02940899
Acinetobacter baumannii  	strain: AbH12O-A2	470	ASM76117v1	GCF_000761175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3875775	3875775	2014-10-01	3712	PRJNA261783	SAMN03075316
Acinetobacter baumannii  	strain: LAC-4	1455315	ASM78673v1	GCF_000786735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3954354	3968436	2014-11-25	3842	PRJNA242902	SAMN02709859
Acinetobacter baumannii  	strain: 6200	470	ASM81434v1	GCF_000814345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3902527	4073976	2015-01-05	3937	PRJNA270223	SAMN03263969
Acinetobacter baumannii  	strain: NCGM 237	1401639	ASM82879v1	GCF_000828795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4021920	4021920	2013-09-26	3929	PRJDB1466	SAMD00061019
Acinetobacter baumannii  	strain: IOMTU 433	470	ASM82893v1	GCF_000828935.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4000970	4190324	2014-10-02	4027	PRJDB3154	SAMD00020223
Acinetobacter baumannii  	strain: A1	470	ASM83005v1	GCF_000830055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3909008	3917739	2015-01-29	3782	PRJNA269083	SAMN03248539
Acinetobacter baumannii  	strain: ORAB01	470	HGAP assembly of Acinetobacter baumannii ORAB01	GCF_000939415.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3971435	4121620	2016-05-02	4003	PRJNA271775	SAMN03277095
Acinetobacter baumannii  	strain: AB5075-UW	470	ASM96381v1	GCF_000963815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3972672	4066980	2015-03-27	3965	PRJNA243297	SAMN02894434
Acinetobacter baumannii  	strain: XH386	470	ASM102696v1	GCF_001026965.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4087343	4199500	2015-06-03	4097	PRJNA273343	SAMN03290686
Acinetobacter baumannii  	strain: B8342	470	ASM107755v2	GCF_001077555.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3947826	3947826	2017-05-23	3824	PRJNA286787	SAMN03770534
Acinetobacter baumannii  	strain: Ab04-mff	470	ASM107765v1	GCF_001077655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3935688	4192280	2015-07-14	4102	PRJNA288605	SAMN03817045
Acinetobacter baumannii  	strain: ATCC 17978-mff	470	ASM107767v1	GCF_001077675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3857743	4006698	2015-07-14	3839	PRJNA288605	SAMN03817043
Acinetobacter baumannii  	strain: B8300	470	ASM107796v2	GCF_001077965.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3824908	3850058	2017-05-31	3745	PRJNA286871	SAMN03771402
Acinetobacter baumannii  	isolate: R2090	470	R2090	GCF_001261895.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3819158	3819158	2015-07-23	3706	PRJEB9721	SAMEA3751109
Acinetobacter baumannii  	strain: D36	470	ASM139965v1	GCF_001399655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4063596	4131161	2015-10-19	4002	PRJNA294725	SAMN04029125
Acinetobacter baumannii  	isolate: CIP70.10	470	CIP70.10	GCF_001457535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3928513	3936255	2015-06-23	3723	PRJEB9585	SAMEA3449716
Acinetobacter baumannii  	strain: KBN10P02143	470	ASM151437v1	GCF_001514375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4086879	4139396	2016-01-14	4042	PRJNA291316	SAMN03941550
Acinetobacter baumannii  	isolate: R2091	470	R2091	GCF_001517645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3939746	3947488	2016-01-15	3736	PRJEB12156	SAMEA3715145
Acinetobacter baumannii  	strain: YU-R612	470	ASM154399v1	GCF_001543995.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4075545	4155251	2016-02-02	4066	PRJNA309091	SAMN04448797
Acinetobacter baumannii  	strain: XH860	470	ASM157306v1	GCF_001573065.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3846621	3846621	2016-02-25	3699	PRJNA290306	SAMN03890258
Acinetobacter baumannii  	strain: XH859	470	ASM157308v1	GCF_001573085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3977071	3977071	2016-02-25	3810	PRJNA290306	SAMN03890257
Acinetobacter baumannii  	strain: XH857	470	ASM157310v1	GCF_001573105.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3879636	3879636	2016-02-25	3721	PRJNA290306	SAMN03890255
Acinetobacter baumannii  	strain: XH856	470	ASM157312v1	GCF_001573125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3908399	3908399	2016-02-25	3752	PRJNA290306	SAMN03890253
Acinetobacter baumannii  	strain: XH858	470	ASM157814v1	GCF_001578145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4172609	4172609	2016-03-01	4050	PRJNA290306	SAMN03890256
Acinetobacter baumannii  	strain: ATCC 17978	470	ASM159342v2	GCF_001593425.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4004792	4004792	2016-12-19	3839	PRJNA302452	SAMN04273153
Acinetobacter baumannii  	strain: 3207	470	ASM163623v1	GCF_001636235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3998012	4092036	2016-05-03	4018	PRJNA311558	SAMN04485290
Acinetobacter baumannii  	strain: ABUH773	470	ASM166846v2	GCF_001668465.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3873900	3885710	2019-01-22	3722	PRJNA271775	SAMN05238697
Acinetobacter baumannii  	strain: ABUH793	470	ASM166914v2	GCF_001669145.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3915869	4107868	2019-01-22	3986	PRJNA271775	SAMN05238672
Acinetobacter baumannii  	strain: ABUH763	470	ASM167447v2	GCF_001674475.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3929411	4014469	2019-01-22	3874	PRJNA271775	SAMN05238628
Acinetobacter baumannii  	strain: ABUH796	470	ASM167450v2	GCF_001674505.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3930797	3943749	2019-01-22	3781	PRJNA271775	SAMN05238571
Acinetobacter baumannii  	strain: CA-17	470	ASM172170v1	GCF_001721705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3719282	3719282	2016-09-08	3505	PRJNA294251	SAMN04018777
Acinetobacter baumannii  	strain: KAB01	470	ASM180634v1	GCF_001806345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3963217	4034092	2016-10-21	3893	PRJNA339667	SAMN05601665
Acinetobacter baumannii  	strain: KAB02	470	ASM180636v1	GCF_001806365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4004978	4086205	2016-10-21	3983	PRJNA339683	SAMN05601667
Acinetobacter baumannii  	strain: KAB03	470	ASM180638v1	GCF_001806385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3983069	4056960	2016-10-21	3923	PRJNA339684	SAMN05601668
Acinetobacter baumannii  	strain: KAB04	470	ASM180640v1	GCF_001806405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4006639	4128124	2016-10-21	4044	PRJNA339686	SAMN05601669
Acinetobacter baumannii  	strain: KAB05	470	ASM180642v1	GCF_001806425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3967717	4038601	2016-10-21	3930	PRJNA339687	SAMN05601670
Acinetobacter baumannii  	strain: KAB06	470	ASM180644v1	GCF_001806445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3967831	4038715	2016-10-21	3934	PRJNA339689	SAMN05601671
Acinetobacter baumannii  	strain: KAB07	470	ASM180646v1	GCF_001806465.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3982361	4054434	2016-10-21	3954	PRJNA339690	SAMN05601672
Acinetobacter baumannii  	strain: KAB08	470	ASM180648v1	GCF_001806485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3973763	4075169	2016-10-21	3965	PRJNA339692	SAMN05601673
Acinetobacter baumannii  	strain: HRAB-85	470	ASM188730v1	GCF_001887305.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4021072	4098585	2016-11-29	3983	PRJNA348168	SAMN06046790
Acinetobacter baumannii  	strain: OCU_Ac16a	470	ASM189512v2	GCF_001895125.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3992063	4119274	2020-07-10	3991	PRJDB5156	SAMD00059694
Acinetobacter baumannii  	strain: AF-673	470	ASM189598v1	GCF_001895985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3982140	4093104	2016-12-09	3934	PRJNA271775	SAMN06077192
Acinetobacter baumannii  	strain: AF-401	470	ASM189600v1	GCF_001896005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4250048	4267631	2016-12-09	4159	PRJNA271775	SAMN06077191
Acinetobacter baumannii  	strain: XDR-BJ83	470	ASM190237v1	GCF_001902375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4011552	4080621	2016-12-13	3961	PRJNA356204	SAMN06109232
