Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_900095025.1	IMG-taxon 2671180230 annotated assembly	Acinetobacter albensis	GCF_900095025.1-RS_2024_04_26	Contig	2016-08-04		PRJEB15012	SAMN05428935
GCF_023499985.1	ASM2349998v1	Acinetobacter amyesii	GCF_023499985.1-RS_2024_08_29	Contig	2022-05-18		PRJNA836248	SAMN28155925
GCF_900197575.1	IMG-taxon 2690315601 annotated assembly	Acinetobacter apis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-29	12.0	PRJEB21552	SAMN05444584
GCF_015627105.1	ASM1562710v1	Acinetobacter baretiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-20		PRJNA561157	SAMN12610052
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	GCF_009035845.1-RS_2024_03_30	Complete Genome	2019-10-16	3.0	PRJNA557095	SAMN12389466
GCF_020911985.1	ASM2091198v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-22	2.0	PRJNA729114	SAMN19110717
GCF_014874575.1	ASM1487457v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-09	5.0	PRJNA647049	SAMN15574350
GCF_000746645.1	ASM74664v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-08-29	1.0	PRJNA256157	SAMN02940899
GCF_001896005.1	ASM189600v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-09	2.0	PRJNA271775	SAMN06077191
GCF_023360975.1	ASM2336097v1	Acinetobacter baumannii	GCF_023360975.1-RS_2024_05_21	Complete Genome	2022-05-13	1.0	PRJNA789460	SAMN24114688
GCF_003010675.1	ASM301067v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-19	2.0	PRJNA292904	SAMN04014942
